0,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
162,Bag of Words,Text,Clustering,Integer,8000000,100000,2008
163,Concrete Compressive Strength,Multivariate,Regression,Real,1030,9,2007
164,Hill-Valley,Sequential,Classification,Real,606,101,2008
165,Arcene,Multivariate,Classification,Real,900,10000,2008
166,Dexter,Multivariate,Classification,Integer,2600,20000,2008
167,Dorothea,Multivariate,Classification,Integer,1950,100000,2008
168,Gisette,Multivariate,Classification,Integer,13500,5000,2008
169,Madelon,Multivariate,Classification,Real,4400,500,2008
170,Ozone Level Detection,"Multivariate, Sequential, Time-Series",Classification,Real,2536,73,2008
171,Abscisic Acid Signaling Network,Multivariate,Causal-Discovery,Integer,300,43,2008
172,Parkinsons,Multivariate,Classification,Real,197,23,2008
173,Character Trajectories,Time-Series,"Classification, Clustering",Real,2858,3,2008
174,Blood Transfusion Service Center,Multivariate,Classification,Real,748,5,2008
175,UJI Pen Characters (Version 2),"Multivariate, Sequential",Classification,Integer,11640,,2009
176,Semeion Handwritten Digit,Multivariate,Classification,Integer,1593,256,2008
177,SECOM,Multivariate,"Classification, Causal-Discovery",Real,1567,591,2008
178,Plants,Multivariate,Clustering,Categorical,22632,70,2008
179,Libras Movement,"Multivariate, Sequential","Classification, Clustering",Real,360,91,2009
180,Concrete Slump Test,Multivariate,Regression,Real,103,10,2009
181,Communities and Crime,Multivariate,Regression,Real,1994,128,2009
182,Acute Inflammations,Multivariate,Classification,"Categorical, Integer",120,6,2009
183,Wine Quality,Multivariate,"Classification, Regression",Real,4898,12,2009
184,URL Reputation,"Multivariate, Time-Series",Classification,"Integer, Real",2396130,3231961,2009
185,p53 Mutants,Multivariate,Classification,Real,16772,5409,2010
186,Parkinsons Telemonitoring,Multivariate,Regression,"Integer, Real",5875,26,2009
187,Demospongiae,Multivariate,Classification,Integer,503,,2010
188,Opinosis Opinion ⁄ Review,Text,,,51,,2010
189,Breast Tissue,Multivariate,Classification,Real,106,10,2010
190,Cardiotocography,Multivariate,Classification,Real,2126,23,2010
191,Wall-Following Robot Navigation Data,"Multivariate, Sequential",Classification,Real,5456,24,2010
192,Spoken Arabic Digit,"Multivariate, Time-Series",Classification,Real,8800,13,2010
193,Localization Data for Person Activity,"Univariate, Sequential, Time-Series",Classification,Real,164860,8,2010
194,AutoUniv,Multivariate,Classification,"Categorical, Integer, Real",,,2010
195,Steel Plates Faults,Multivariate,Classification,"Integer, Real",1941,27,2010
196,MiniBooNE particle identification,Multivariate,Classification,Real,130065,50,2010
197,YearPredictionMSD,Multivariate,Regression,Real,515345,90,2011
198,PEMS-SF,"Multivariate, Time-Series",Classification,Real,440,138672,2011
199,OpinRank Review Dataset,Text,,,,,2011
200,Relative location of CT slices on axial axis,Domain-Theory,Regression,Real,53500,386,2011
201,Online Handwritten Assamese Characters Dataset,"Multivariate, Sequential",Classification,Integer,8235,,2011
202,PubChem Bioassay Data,Multivariate,Classification,"Integer, Real",,,2011
203,Record Linkage Comparison Patterns,Multivariate,Classification,Real,5749132,12,2011
204,Communities and Crime Unnormalized,Multivariate,Regression,Real,2215,147,2011
205,Vertebral Column,Multivariate,Classification,Real,310,6,2011
206,EMG Physical Action Data Set,Time-Series,Classification,Real,10000,8,2011
207,Vicon Physical Action Data Set,Time-Series,Classification,Real,3000,27,2011
208,Amazon Commerce reviews set,"Multivariate, Text, Domain-Theory",Classification,Real,1500,10000,2011
